CMDLINE /Users/mac/Documents/challenge_DE/venv/bin/python3.8 src/q1_memory.py
MEM 44.984375 1720399585.3850
MEM 44.984375 1720399585.4901
MEM 44.984375 1720399585.5951
MEM 44.984375 1720399585.7002
MEM 44.984375 1720399585.8053
MEM 44.984375 1720399585.9103
MEM 44.984375 1720399586.0154
MEM 44.984375 1720399586.1183
MEM 44.984375 1720399586.2234
MEM 44.984375 1720399586.3285
MEM 44.984375 1720399586.4336
MEM 44.984375 1720399586.5386
MEM 44.984375 1720399586.6437
MEM 44.984375 1720399586.7488
MEM 44.984375 1720399586.8517
MEM 44.984375 1720399586.9567
MEM 44.984375 1720399587.0618
MEM 44.984375 1720399587.1669
MEM 44.984375 1720399587.2683
MEM 44.984375 1720399587.3734
MEM 44.984375 1720399587.4785
MEM 44.984375 1720399587.5835
MEM 44.984375 1720399587.6886
MEM 44.984375 1720399587.7937
MEM 44.984375 1720399587.8987
MEM 44.984375 1720399588.0038
MEM 44.984375 1720399588.1088
MEM 44.984375 1720399588.2139
MEM 44.984375 1720399588.3190
MEM 44.984375 1720399588.4240
MEM 44.984375 1720399588.5291
MEM 44.984375 1720399588.6342
MEM 44.984375 1720399588.7350
MEM 45.109375 1720399588.8368
MEM 45.109375 1720399588.9419
MEM 45.109375 1720399589.0469
MEM 45.109375 1720399589.1520
MEM 45.109375 1720399589.2529
MEM 45.109375 1720399589.3580
MEM 45.109375 1720399589.4630
MEM 45.109375 1720399589.5681
MEM 45.109375 1720399589.6732
MEM 45.109375 1720399589.7782
MEM 45.109375 1720399589.8833
MEM 45.109375 1720399589.9883
MEM 45.109375 1720399590.0934
MEM 45.109375 1720399590.1985
MEM 45.109375 1720399590.3036
MEM 45.109375 1720399590.4086
MEM 45.109375 1720399590.5137
MEM 45.109375 1720399590.6188
MEM 45.109375 1720399590.7239
MEM 45.109375 1720399590.8289
MEM 45.109375 1720399590.9340
MEM 45.109375 1720399591.0391
MEM 45.109375 1720399591.1442
MEM 45.140625 1720399591.2493
MEM 45.140625 1720399591.3518
MEM 45.140625 1720399591.4568
MEM 45.140625 1720399591.5619
MEM 45.140625 1720399591.6670
MEM 45.140625 1720399591.7720
MEM 45.140625 1720399591.8771
MEM 45.140625 1720399591.9821
MEM 45.140625 1720399592.0872
MEM 45.140625 1720399592.1923
MEM 45.187500 1720399592.2974
MEM 45.187500 1720399592.4024
MEM 45.187500 1720399592.5075
MEM 45.187500 1720399592.6125
MEM 45.187500 1720399592.7176
MEM 45.187500 1720399592.8227
MEM 45.187500 1720399592.9278
MEM 45.187500 1720399593.0328
MEM 45.187500 1720399593.1351
MEM 45.187500 1720399593.2402
MEM 45.187500 1720399593.3453
MEM 45.187500 1720399593.4470
MEM 45.187500 1720399593.5485
MEM 45.187500 1720399593.6536
MEM 45.218750 1720399593.7587
MEM 45.218750 1720399593.8623
MEM 45.218750 1720399593.9674
MEM 45.234375 1720399594.0725
MEM 45.234375 1720399594.1775
MEM 45.234375 1720399594.2826
MEM 45.234375 1720399594.3876
MEM 45.234375 1720399594.4927
MEM 45.234375 1720399594.5977
MEM 45.234375 1720399594.7028
MEM 45.234375 1720399594.8079
MEM 45.234375 1720399594.9130
MEM 45.234375 1720399595.0180
MEM 45.234375 1720399595.1231
MEM 45.234375 1720399595.2282
MEM 45.234375 1720399595.3333
MEM 45.234375 1720399595.4363
MEM 45.234375 1720399595.5414
MEM 45.234375 1720399595.6465
MEM 45.234375 1720399595.7516
MEM 45.234375 1720399595.8518
MEM 45.234375 1720399595.9569
MEM 45.234375 1720399596.0620
MEM 45.234375 1720399596.1670
MEM 45.234375 1720399596.2721
MEM 45.234375 1720399596.3771
MEM 45.234375 1720399596.4822
MEM 45.234375 1720399596.5873
MEM 45.234375 1720399596.6886
MEM 45.234375 1720399596.7937
MEM 45.234375 1720399596.8988
MEM 45.234375 1720399597.0019
MEM 45.234375 1720399597.1069
MEM 45.234375 1720399597.2120
MEM 45.234375 1720399597.3171
MEM 45.234375 1720399597.4186
MEM 45.234375 1720399597.5207
MEM 45.234375 1720399597.6257
MEM 45.234375 1720399597.7308
MEM 45.234375 1720399597.8359
MEM 45.234375 1720399597.9409
MEM 45.234375 1720399598.0460
MEM 45.234375 1720399598.1511
MEM 45.234375 1720399598.2533
MEM 45.234375 1720399598.3584
MEM 45.234375 1720399598.4634
MEM 45.234375 1720399598.5685
MEM 45.234375 1720399598.6736
MEM 45.234375 1720399598.7786
MEM 45.234375 1720399598.8837
MEM 45.234375 1720399598.9888
MEM 45.234375 1720399599.0939
MEM 45.234375 1720399599.1990
MEM 45.234375 1720399599.3019
MEM 45.234375 1720399599.4070
MEM 45.234375 1720399599.5120
MEM 45.234375 1720399599.6127
MEM 45.234375 1720399599.7179
MEM 45.234375 1720399599.8229
MEM 45.234375 1720399599.9280
MEM 45.234375 1720399600.0327
MEM 45.234375 1720399600.1376
MEM 45.234375 1720399600.2427
MEM 45.234375 1720399600.3477
MEM 45.234375 1720399600.4528
MEM 45.234375 1720399600.5579
MEM 45.234375 1720399600.6630
MEM 45.234375 1720399600.7680
